,paper_id,paper_url,paper_name,keyword_loc_content,cite_num,journal,year,pages,volume,number,author,journal_h-index,journal_CiteScore,journal_area
0,lyChKtw9mroJ,https://sciencedirect.53yu.com/science/article/pii/S1389128620313189,NFV resource allocation: A systematic review and taxonomy of VNF forwarding graph embedding,"… VNF forwarding graph embedding (VNF-FGE) problem. Having efficient solutions to the VNF-… 
In this work, we systematically review the literature on the VNF-FGE problem. We present a …",24,Computer Networks,2021,107726,185,,"Schardong, Frederico and Nunes, Ingrid and Schaeffer-Filho, Alberto",119,9.30,3区
1,qeNbDpTNWrQJ,https://sciencedirect.53yu.com/science/article/pii/S1084804519302516,Towards a virtual network function research agenda: A systematic literature review of vnf design considerations,"… In this paper, we identify and characterize the existing VNF … VNF characteristics and 
behaviors. It is beneficial for future research of VNF and NFV, as it serves as a resource for VNF …",16,Journal of Network and Computer Applications,2019,102417,146,,"Zhang, Chuanji and Joshi, Harshvardhan P and Riley, George F and Wright, Steven A",77,15.70,2区
2,a5lCKa4s1OoJ,https://ieeexplore.ieee.org/abstract/document/8737660/,Adaptive interference-aware VNF placement for service-customized 5G network slices,"… In this paper, we tackle the VNF placement problem by first … that VNF consolidation may 
cause severe performance degradation, we adopt a demand-supply model to quantify the VNF …",108,,2019,2449-2457,,,"Zhang, Qixia and Liu, Fangming and Zeng, Chaobing",,,
3,3p_un9_pdHEJ,https://ieeexplore.ieee.org/abstract/document/8932445/,Optimal VNF placement via deep reinforcement learning in SDN/NFV-enabled networks,"… In this paper, we study the VNF placement problem in SDN/NFV-enabled networks, 
which is naturally formulated as a Binary Integer Programming (BIP) problem. Using deep …",108,IEEE Journal on Selected Areas in Communications,2019,263-278,38,2,"Pei, Jianing and Hong, Peilin and Pan, Miao and Liu, Jiangqing and Zhou, Jingsong",211,21.20,1区
4,l7GomSPflP8J,https://ieeexplore.ieee.org/abstract/document/8854289/,Online VNF lifecycle management in an MEC-enabled 5G IoT architecture,"… in an environment with traffic variations and VNF placement options with diverse … VNF 
lifecycle management challenges that arise from such heterogeneous architecture, in terms of VNF …",83,IEEE Internet of Things Journal,2019,4183-4194,7,5,"Sarrigiannis, Ioannis and Ramantas, Kostas and Kartsakli, Elli and Mekikis, Prodromos-Vasileios and Antonopoulos, Angelos and Verikoukis, Christos",47,17.10,1区
5,IlqMmp_jVs8J,https://ieeexplore.ieee.org/abstract/document/9155345/,Latency-aware VNF chain deployment with efficient resource reuse at network edge,"… deploy VNF … VNF chain deployment problem as a mixed integer linear programming (MILP) 
to minimize the total resource consumption. We design a novel two-stage latency-aware VNF …",68,,2020,267-276,,,"Jin, Panpan and Fei, Xincai and Zhang, Qixia and Liu, Fangming and Li, Bo",,,
6,76z2or4OKiIJ,https://ieeexplore.ieee.org/abstract/document/8873660/,A deep reinforcement learning approach for vnf forwarding graph embedding,"… in the form of VNF-FGs; therefore, we will formulate the descriptions of VNF-FGs as the states. 
A VNF-FG can be expressed as the chain of VNFs where each VNF has specific resource …",87,IEEE Transactions on Network and Service Management,2019,1318-1331,16,4,"Quang, Pham Tran Anh and Hadjadj-Aoul, Yassine and Outtagarts, Abdelkader",31,7.20,2区
7,47uwEw4y0CMJ,https://ieeexplore.ieee.org/abstract/document/9070195/,End-to-end performance-based autonomous VNF placement with adopted reinforcement learning,"… Learning VNF Performance Prediction module for Autonomous VNF Placement, namely … 
increased VNF performance predictions accuracy by 40–45%, and an overall improved VNF …",35,IEEE Transactions on Cognitive Communications and Networking,2020,534-547,6,2,"Bunyakitanon, Monchai and Vasilakos, Xenofon and Nejabati, Reza and Simeonidou, Dimitra",0,9.30,2区
8,zSzn5mBHyrcJ,https://ieeexplore.ieee.org/abstract/document/8611305/,VNF placement and resource allocation for the support of vertical services in 5G networks,"… If the number Nq of instances of VNF q to be deployed is known, then we can replace 
VNF q in the VNF graph with Nq replicas thereof, labeled q1,q2,...qNq , each with the same …",97,IEEE/ACM Transactions on Networking,2019,433-446,27,1,"Agarwal, Satyam and Malandrino, Francesco and Chiasserini, Carla Fabiana and De, Swades",,,
9,1tSHnhs3b4kJ,https://ieeexplore.ieee.org/abstract/document/8931775/,Intelligent VNF orchestration and flow scheduling via model-assisted deep reinforcement learning,"Hosting virtualized network functions (VNF) has been regarded as an effective way to … 
Therefore, we are motivated to design a model-assisted DRL framework for VNF orchestration in …",59,IEEE Journal on Selected Areas in Communications,2019,279-291,38,2,"Gu, Lin and Zeng, Deze and Li, Wei and Guo, Song and Zomaya, Albert Y and Jin, Hai",211,21.20,1区
